Campaign report
"May 1, 2022 - May 20, 2022"
Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Campaign ID,Impr.,Views,View rate,Avg. CPV,Cost,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Earned views,Earned playlist additions
Paused,HM_WOA Cakes_Discovery_ Insect Cakes_1901, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12115727007,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rainbow Skirt and Costumes_2203, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12600444213,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Contest Make Up_2004, --,VND,100000,Daily,Paused,campaign paused,Video,12797852819,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Channel_Discovery_Kind Huggy Wuggy vs Squid Game_1002, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,16171401526,0,0, --, --,0, --, --, --, --,0,0
Paused,Hoangtm_Hoppo_Discover_17112018, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1633028585,0,0, --, --,0, --, --, --, --,0,0
Paused,Lego_Brick Rising_Bottle To Money Transfer Machine_1802, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,9425380734,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Make Fun and Creative(QG)_1901, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12119007820,0,0, --, --,0, --, --, --, --,0,0
Enabled,HM_Annie Storytime_Discovery_Red Panda_1905, --,VND,200000,Daily,Eligible (Limited),limited by budget; unknown,Video,17299472392,"209,865","11,902",5.67%,34,406250,40.14%,27.12%,16.22%,3.49%,589,1
Paused,TH_Dolls World عالم الدمى_Discovery_Dolls Dress Up_1012, --,VND,200000,Daily,Paused,campaign paused; most ads disapproved,Video,11818894799,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_a Thief_1503, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12548544636,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_POP IT Unicorn_0111, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,15135663515,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts _Discovery_Marry Squid Game_1103, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,16527988494,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll Beauty_Discovery_0905, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,1877940429,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Emotions Control_3003, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12648344590,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa DD_Discovery_Balloon_0412, --,VND,50000,Daily,Paused,campaign paused; most ads disapproved,Video,8390449884,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rescue Little Sadako_2203, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,12598785014,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Fairy Rapunzel_0610, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14867608440,0,0, --, --,0, --, --, --, --,0,0
Paused,Dolls Beauty Discovery-GIRL, --,VND,80000,Daily,Paused,campaign paused; most ads disapproved,Video,1506357055,0,0, --, --,0, --, --, --, --,0,0
Paused,Woa Doodle_Discovery_1111, --,VND,64000,Daily,Paused,campaign paused; unknown,Video,8056966003,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Control Me Dresses_3003, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12648423562,0,0, --, --,0, --, --, --, --,0,0
Paused,TH_Dolls World_Discovery_دمى ورقية الأميرة  _ ReMKT_0311, --,VND,200000,Daily,Paused,campaign paused,Video,11539125092,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Fire Ice Beautiful(QG)_1901, --,VND,100000,Daily,Paused,campaign paused,Video,12115798281,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Opposing Room_0605, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12982527078,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Unicorn Rainbow_1506, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13522126455,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Channel_Discovery_Rich Mother_0601, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15787449350,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Amazing Cake_1902, --,VND,100000,Daily,Paused,campaign paused,Video,12371445532,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Adorable House Rabbit_1005, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,13034273972,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_Her Child_0704, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,16807232596,"63,483","6,009",9.47%,50,302020,25.22%,14.94%,7.98%,2.58%,"5,144",12
Removed,hoangtm_hippo_Instream_17112018, --,VND,200000,Daily,Removed,campaign removed,Video,1633025009,0,0, --, --,0, --, --, --, --,0,0
Paused,Hoangtm_Hippo_Intream_18112018, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1633038928,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Social Network_0807, --,VND,200000,Daily,Paused,campaign paused; most ads disapproved,Video,13823500066,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Sisters Fat_0111, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,15132689011,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Growing Up_1703, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,16572890319,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Poor Pregnant_0704, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,16802171952,"119,912","14,693",12.25%,21,310750,26.75%,13.82%,7.44%,1.58%,"22,261",70
Paused,Dolls Beauty Discovery 2, --,VND,100000,Daily,Paused,campaign paused; most ads disapproved,Video,1500587680,0,0, --, --,0, --, --, --, --,0,0
Paused,Doll _Instream_1005, --,VND,100000,Daily,Paused,campaign paused,Video,1882361985,0,0, --, --,0, --, --, --, --,0,0
Paused,Lego_Brick Rising_Popcorn Man_1802, --,VND,70000,Daily,Paused,campaign paused; most ads disapproved,Video,9425325807,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Cake_Discovery_Amazing Cake Design_1901, --,VND,100000,Daily,Paused,campaign paused,Video,12118761259,0,0, --, --,0, --, --, --, --,0,0
Paused,Life of Crocodile_Discovery_1907, --,VND,150000,Daily,Paused,campaign paused; most ads disapproved,Video,2070696904,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Opposing Room_0405, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12960607603,0,0, --, --,0, --, --, --, --,0,0
